Facility,Department,Order,Item,Item Description,OP Seq,Start Date,Actual Start Date,Complete Date,Actual Completion Date,Due date,MOP  QTY Remaining,OP Status,MO Qty Remaining,Mach Hrs Remaining,Labor Hrs Remaining,Hours Remaining,Last Activity Date
MACH81,DeptB,M000036,ITEM27,OPER0226,10,06/24/25,,06/24/25,,06/30/25,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH72,DeptB,M000036,ITEM27,OPER0201,15,06/25/25,,06/25/25,,06/30/25,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH17,DeptB,M000036,ITEM27,OPER0037,20,06/23/25,04/14/25,06/23/25,,06/30/25,20,30-Activity reported,20,0.29,0.29,3.62,04/14/25
MACH30,DeptB,M000036,ITEM27,OPER0071,30,06/26/25,,06/26/25,,06/30/25,20,10-No Activity reported,20,0.83,0.83,3.62,
MACH32,DeptG,M000036,ITEM27,OPER0081,599,06/27/25,,06/27/25,,06/30/25,20,10-No Activity reported,20,0.25,0.25,3.62,
MACH26,DeptB,M000036,ITEM27,OPER0016,600,06/30/25,,06/30/25,,06/30/25,20,10-No Activity reported,20,0.25,0.35,3.62,
MACH42,DeptB,M000168,ITEM37,OPER0003,20,06/04/25,,06/04/25,,06/09/25,5,10-No Activity reported,5,0.17,0.34,6.34,
MACH89,DeptN,M000168,ITEM37,OPER0241,50,06/05/25,,06/05/25,,06/09/25,5,10-No Activity reported,5,4,4,6.34,
MACH91,DeptN,M000168,ITEM37,OPER0251,60,06/06/25,,06/06/25,,06/09/25,5,10-No Activity reported,5,1,1,6.34,
MACH32,DeptG,M000168,ITEM37,OPER0082,598,06/09/25,,06/09/25,,06/09/25,5,10-No Activity reported,5,1,1,6.34,
MACH41,DeptB,M000169,ITEM85,OPER0003,10,06/03/25,05/19/25,06/03/25,,06/05/25,5,30-Activity reported,5,0,0.42,2.42,05/19/25
MACH89,DeptN,M000169,ITEM85,OPER0242,30,06/04/25,,06/04/25,,06/05/25,5,10-No Activity reported,5,1,1,2.42,
MACH32,DeptG,M000169,ITEM85,OPER0081,60,06/05/25,,06/05/25,,06/05/25,5,10-No Activity reported,5,1,1,2.42,
MACH6,DeptC,M000572,ITEM360,OPER0018,20,06/18/25,06/05/25,06/18/25,,06/30/25,2,30-Activity reported,2,0,1.33,6.66,06/05/25
MACH11,DeptC,M000572,ITEM360,OPER0029,25,06/19/25,,06/19/25,,06/30/25,2,10-No Activity reported,2,0.75,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0022,27,06/20/25,,06/20/25,,06/30/25,2,10-No Activity reported,2,0,0.33,6.66,
MACH46,DeptA,M000572,ITEM360,OPER0408,30,06/23/25,,06/23/25,,06/30/25,2,10-No Activity reported,2,0.42,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0023,33,06/24/25,,06/24/25,,06/30/25,2,10-No Activity reported,2,0,1.5,6.66,
MACH9,DeptC,M000572,ITEM360,OPER0006,40,06/25/25,,06/25/25,,06/30/25,2,10-No Activity reported,2,0,1,6.66,
MACH79,DeptE,M000572,ITEM360,OPER0409,45,06/26/25,,06/26/25,,06/30/25,2,10-No Activity reported,2,0,1,6.66,
