Facility,Department,Order,Item,Item Description,OP Seq,Start Date,Actual Start Date,Complete Date,Actual Completion Date,Due date,MOP  QTY Remaining,OP Status,MO Qty Remaining,Mach Hrs Remaining,Labor Hrs Remaining,Hours Remaining,Last Activity Date
MACH1,DeptA,M000001,ITEM1,OPER0001,50,6/4/2025,,6/4/2025,,6/5/2025,28,10-No Activity reported,28,0.07,0.07,1.32,
MACH1,DeptA,M000002,ITEM2,OPER0002,50,6/4/2025,5/29/2025,6/4/2025,,6/5/2025,14,30-Activity reported,14,0.04,0.04,1.16,5/29/2025
MACH2,DeptB,M000003,ITEM3,OPER0003,30,6/10/2025,6/2/2025,6/10/2025,,6/17/2025,500,30-Activity reported,500,0,5,19.36,6/2/2025
MACH2,DeptB,M000004,ITEM4,OPER0004,30,6/18/2025,,6/18/2025,,6/23/2025,500,10-No Activity reported,500,2.25,2.25,17.77,
MACH2,DeptB,M000005,ITEM5,OPER0005,10,6/26/2025,,6/26/2025,,7/1/2025,9,10-No Activity reported,9,0.5,0.68,3.08,
MACH2,DeptB,M000005,ITEM5,OPER0006,15,6/27/2025,,6/27/2025,,7/1/2025,9,10-No Activity reported,9,1,1.15,3.08,
MACH2,DeptB,M000006,ITEM6,OPER0007,5,6/16/2025,5/20/2025,6/16/2025,,6/20/2025,5,30-Activity reported,5,0,1.25,7.58,5/20/2025
MACH2,DeptB,M000006,ITEM6,OPER0008,10,6/17/2025,,6/17/2025,,6/20/2025,5,10-No Activity reported,5,3,3,7.58,
MACH2,DeptB,M000007,ITEM7,OPER0009,40,6/3/2025,,6/4/2025,,6/10/2025,312,10-No Activity reported,312,0.25,8.05,12.65,5/29/2025
MACH2,DeptB,M000008,ITEM8,OPER0010,10,6/3/2025,,6/3/2025,,6/27/2025,21,10-No Activity reported,21,0.91,0.91,1.66,
MACH2,DeptB,M000009,ITEM9,OPER0011,42,6/12/2025,,6/12/2025,,7/14/2025,92,10-No Activity reported,92,0,0,198.21,
MACH3,DeptB,M000010,ITEM10,OPER0012,10,6/2/2025,,6/2/2025,,6/12/2025,500,10-No Activity reported,500,2.95,2.95,30.61,
MACH3,DeptB,M000011,ITEM11,OPER0012,10,6/16/2025,5/29/2025,6/16/2025,,6/18/2025,90,30-Activity reported,500,0.5,0.5,8.1,5/29/2025
MACH4,DeptA,M000012,ITEM12,OPER0013,43,6/10/2025,,6/10/2025,,6/17/2025,102,10-No Activity reported,102,0.85,0.85,67.52,
MACH5,DeptB,M000013,ITEM13,OPER0014,10,6/13/2025,,6/13/2025,,7/9/2025,80,10-No Activity reported,80,0.5,3.17,3.62,
MACH5,DeptB,M000014,ITEM14,OPER0015,10,6/13/2025,,6/17/2025,,6/20/2025,2000,10-No Activity reported,2000,20.25,20.25,30.75,
MACH5,DeptB,M000015,ITEM15,OPER0016,600,6/23/2025,,6/23/2025,,6/23/2025,22,10-No Activity reported,22,0.25,0.25,0.5,
MACH5,DeptB,M000008,ITEM8,OPER0016,600,6/27/2025,,6/27/2025,,6/27/2025,21,10-No Activity reported,21,0.25,0.25,1.66,
MACH5,DeptB,M000016,ITEM16,OPER0017,20,6/6/2025,,6/6/2025,,6/10/2025,106,10-No Activity reported,106,0.25,3.43,3.93,
MACH6,DeptC,M000017,ITEM17,OPER0018,27,6/17/2025,5/28/2025,6/17/2025,,6/20/2025,4,30-Activity reported,16,0,4,33,5/29/2025
MACH6,DeptC,M000018,ITEM18,OPER0019,50,6/13/2025,5/30/2025,6/17/2025,,7/9/2025,20,30-Activity reported,20,0,20,108.23,6/2/2025
MACH7,DeptD,M000019,ITEM19,OPER0020,60,6/3/2025,5/20/2025,6/3/2025,,6/3/2025,52,30-Activity reported,58,0,4.33,7.3,5/27/2025
MACH7,DeptD,M000020,ITEM19,OPER0020,60,6/4/2025,5/28/2025,6/4/2025,,6/4/2025,28,30-Activity reported,43,0,2.33,2.51,5/30/2025
MACH7,DeptD,M000021,ITEM19,OPER0020,60,6/4/2025,5/29/2025,6/5/2025,,6/9/2025,202,30-Activity reported,499,0,16.83,39.35,6/2/2025
