Facility,Department,Order,Item,Item Description,OP Seq,Start Date,Actual Start Date,Complete Date,Actual Completion Date,Due date,MOP  QTY Remaining,OP Status,MO Qty Remaining,Mach Hrs Remaining,Labor Hrs Remaining,Hours Remaining,Last Activity Date
MACH81,DeptB,M000036,ITEM27,OPER0226,10,6/24/2025,,6/24/2025,,6/30/2025,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH72,DeptB,M000036,ITEM27,OPER0201,15,6/25/2025,,6/25/2025,,6/30/2025,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH17,DeptB,M000036,ITEM27,OPER0037,20,6/23/2025,4/14/2025,6/23/2025,,6/30/2025,20,30-Activity reported,20,0.29,0.29,3.62,4/14/2025
MACH30,DeptB,M000036,ITEM27,OPER0071,30,6/26/2025,,6/26/2025,,6/30/2025,20,10-No Activity reported,20,0.83,0.83,3.62,
MACH32,DeptG,M000036,ITEM27,OPER0081,599,6/27/2025,,6/27/2025,,6/30/2025,20,10-No Activity reported,20,0.25,0.25,3.62,
MACH26,DeptB,M000036,ITEM27,OPER0016,600,6/30/2025,,6/30/2025,,6/30/2025,20,10-No Activity reported,20,0.25,0.35,3.62,
MACH32,DeptG,M000168,ITEM37,OPER0082,598,6/9/2025,,6/9/2025,,6/9/2025,5,10-No Activity reported,5,1,1,6.34,
MACH6,DeptC,M000572,ITEM360,OPER0018,20,6/18/2025,6/5/2025,6/18/2025,,6/30/2025,2,30-Activity reported,2,0,1.33,6.66,6/5/2025
MACH11,DeptC,M000572,ITEM360,OPER0029,25,6/19/2025,,6/19/2025,,6/30/2025,2,10-No Activity reported,2,0.75,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0022,27,6/20/2025,,6/20/2025,,6/30/2025,2,10-No Activity reported,2,0,0.33,6.66,
MACH46,DeptA,M000572,ITEM360,OPER0408,30,6/23/2025,,6/23/2025,,6/30/2025,2,10-No Activity reported,2,0.42,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0023,33,6/24/2025,,6/24/2025,,6/30/2025,2,10-No Activity reported,2,0,1.5,6.66,
MACH9,DeptC,M000572,ITEM360,OPER0006,40,6/25/2025,,6/25/2025,,6/30/2025,2,10-No Activity reported,2,0,1,6.66,
MACH79,DeptE,M000572,ITEM360,OPER0409,45,6/26/2025,,6/26/2025,,6/30/2025,2,10-No Activity reported,2,0,1,6.66,
MACH32,DeptG,M000572,ITEM360,OPER0103,50,6/27/2025,,6/27/2025,,6/30/2025,2,10-No Activity reported,2,1,1,6.66,
MACH28,DeptC,M000572,ITEM360,OPER0016,600,6/30/2025,,6/30/2025,,6/30/2025,2,10-No Activity reported,2,0,1.5,6.66,
MACH31,DeptB,M000128,ITEM58,OPER0080,55,6/9/2025,,6/9/2025,,6/11/2025,10,10-No Activity reported,10,1,1.17,5.75,
MACH32,DeptG,M000128,ITEM58,OPER0083,599,6/10/2025,,6/10/2025,,6/11/2025,10,10-No Activity reported,10,2,2,5.75,
MACH25,DeptF,M000128,ITEM58,OPER0056,600,6/11/2025,,6/11/2025,,6/11/2025,10,10-No Activity reported,10,0.5,0.58,5.75,
MACH45,0,M000129,ITEM59,OPER0129,15,6/17/2025,,6/17/2025,,6/20/2025,202.666,10-No Activity reported,192,0,0,4.37,
MACH32,DeptG,M000129,ITEM59,OPER0084,17,6/18/2025,,6/18/2025,,6/20/2025,202.666,10-No Activity reported,192,2,2,4.37,
MACH25,DeptF,M000129,ITEM59,OPER0054,20,6/19/2025,,6/19/2025,,6/20/2025,202.666,10-No Activity reported,192,0.25,0.32,4.37,
MACH32,DeptG,M000129,ITEM59,OPER0085,30,6/20/2025,,6/20/2025,,6/20/2025,202.666,10-No Activity reported,192,2,2,4.37,
MACH78,DeptD,M000246,ITEM130,OPER0217,5,6/9/2025,,6/9/2025,,6/13/2025,9,10-No Activity reported,9,0,2.25,23.09,
MACH39,DeptD,M000246,ITEM130,OPER0114,10,6/10/2025,,6/10/2025,,6/13/2025,9,10-No Activity reported,9,0.25,0.7,23.09,
MACH80,DeptD,M000246,ITEM130,OPER0210,30,6/11/2025,,6/11/2025,,6/13/2025,9,10-No Activity reported,9,16.5,0.5,23.09,
MACH96,DeptD,M000246,ITEM130,OPER0211,40,6/12/2025,,6/12/2025,,6/13/2025,9,10-No Activity reported,9,0.25,1.15,23.09,
MACH86,DeptN,M000246,ITEM130,OPER0230,60,6/13/2025,,6/13/2025,,6/13/2025,9,10-No Activity reported,9,1.13,1.13,23.09,
MACH32,DeptG,M000030,ITEM23,OPER0085,599,6/9/2025,,6/9/2025,,6/10/2025,16,10-No Activity reported,16,1,1,13.86,
MACH27,DeptE,M000030,ITEM23,OPER0054,650,6/10/2025,,6/10/2025,,6/10/2025,16,10-No Activity reported,16,0,1.33,13.86,
MACH57,DeptD,M000090,ITEM42,OPER0174,120,6/9/2025,,6/9/2025,,6/17/2025,10,10-No Activity reported,10,4.5,4.5,29.27,
MACH80,DeptD,M000090,ITEM42,OPER0210,130,6/10/2025,,6/10/2025,,6/17/2025,10,10-No Activity reported,10,16.25,0.25,29.27,
MACH96,DeptD,M000090,ITEM42,OPER0264,150,6/11/2025,,6/11/2025,,6/17/2025,10,10-No Activity reported,10,0.25,0.75,29.27,
MACH86,DeptN,M000090,ITEM42,OPER0231,160,6/12/2025,,6/13/2025,,6/17/2025,10,10-No Activity reported,10,6.25,6.25,29.27,
MACH32,DeptG,M000090,ITEM42,OPER0088,599,6/16/2025,,6/16/2025,,6/17/2025,10,10-No Activity reported,10,1,1,29.27,
MACH24,DeptD,M000090,ITEM42,OPER0054,650,6/17/2025,,6/17/2025,,6/17/2025,10,10-No Activity reported,10,0,0.17,29.27,
