Facility,Department,Order,Item,Item Description,OP Seq,Start Date,Actual Start Date,Complete Date,Actual Completion Date,Due date,MOP  QTY Remaining,OP Status,MO Qty Remaining,Mach Hrs Remaining,Labor Hrs Remaining,Hours Remaining,Last Activity Date
MACH81,DeptB,M000036,ITEM27,OPER0226,10,6/24/2025,,6/24/2025,,6/30/2025,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH72,DeptB,M000036,ITEM27,OPER0201,15,6/25/2025,,6/25/2025,,6/30/2025,20,10-No Activity reported,20,0.45,0.45,3.62,
MACH17,DeptB,M000036,ITEM27,OPER0037,20,6/23/2025,4/14/2025,6/23/2025,,6/30/2025,20,30-Activity reported,20,0.29,0.29,3.62,4/14/2025
MACH30,DeptB,M000036,ITEM27,OPER0071,30,6/26/2025,,6/26/2025,,6/30/2025,20,10-No Activity reported,20,0.83,0.83,3.62,
MACH32,DeptG,M000036,ITEM27,OPER0081,599,6/27/2025,,6/27/2025,,6/30/2025,20,10-No Activity reported,20,0.25,0.25,3.62,
MACH26,DeptB,M000036,ITEM27,OPER0016,600,6/30/2025,,6/30/2025,,6/30/2025,20,10-No Activity reported,20,0.25,0.35,3.62,
MACH42,DeptB,M000168,ITEM37,OPER0003,20,6/4/2025,,6/4/2025,,6/9/2025,5,10-No Activity reported,5,0.17,0.34,6.34,
MACH89,DeptN,M000168,ITEM37,OPER0241,50,6/5/2025,,6/5/2025,,6/9/2025,5,10-No Activity reported,5,4,4,6.34,
MACH91,DeptN,M000168,ITEM37,OPER0251,60,6/6/2025,,6/6/2025,,6/9/2025,5,10-No Activity reported,5,1,1,6.34,
MACH32,DeptG,M000168,ITEM37,OPER0082,598,6/9/2025,,6/9/2025,,6/9/2025,5,10-No Activity reported,5,1,1,6.34,
MACH41,DeptB,M000169,ITEM85,OPER0003,10,6/3/2025,5/19/2025,6/3/2025,,6/5/2025,5,30-Activity reported,5,0,0.42,2.42,5/19/2025
MACH89,DeptN,M000169,ITEM85,OPER0242,30,6/4/2025,,6/4/2025,,6/5/2025,5,10-No Activity reported,5,1,1,2.42,
MACH32,DeptG,M000169,ITEM85,OPER0081,60,6/5/2025,,6/5/2025,,6/5/2025,5,10-No Activity reported,5,1,1,2.42,
MACH6,DeptC,M000572,ITEM360,OPER0018,20,6/18/2025,,6/18/2025,,6/30/2025,2,10-No Activity reported,2,0,1.33,6.66,6/4/2025
MACH11,DeptC,M000572,ITEM360,OPER0029,25,6/19/2025,,6/19/2025,,6/30/2025,2,10-No Activity reported,2,0.75,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0022,27,6/20/2025,,6/20/2025,,6/30/2025,2,10-No Activity reported,2,0,0.33,6.66,
MACH46,DeptA,M000572,ITEM360,OPER0408,30,6/23/2025,,6/23/2025,,6/30/2025,2,10-No Activity reported,2,0.42,0.75,6.66,
MACH8,DeptC,M000572,ITEM360,OPER0023,33,6/24/2025,,6/24/2025,,6/30/2025,2,10-No Activity reported,2,0,1.5,6.66,
MACH9,DeptC,M000572,ITEM360,OPER0006,40,6/25/2025,,6/25/2025,,6/30/2025,2,10-No Activity reported,2,0,1,6.66,
MACH79,DeptE,M000572,ITEM360,OPER0409,45,6/26/2025,,6/26/2025,,6/30/2025,2,10-No Activity reported,2,0,1,6.66,
MACH32,DeptG,M000572,ITEM360,OPER0103,50,6/27/2025,,6/27/2025,,6/30/2025,2,10-No Activity reported,2,1,1,6.66,
MACH28,DeptC,M000572,ITEM360,OPER0016,600,6/30/2025,,6/30/2025,,6/30/2025,2,10-No Activity reported,2,0,1.5,6.66,
MACH32,DeptG,M000151,ITEM73,OPER0081,599,6/2/2025,,6/2/2025,,6/3/2025,12,10-No Activity reported,12,1,1,2.22,
MACH27,DeptE,M000151,ITEM73,OPER0056,600,6/3/2025,,6/3/2025,,6/3/2025,12,10-No Activity reported,12,0.1,0.22,2.22,
MACH1,DeptA,M000001,ITEM1,OPER0001,50,6/4/2025,,6/4/2025,,6/5/2025,28,10-No Activity reported,28,0.07,0.07,1.07,
MACH32,DeptG,M000001,ITEM1,OPER0081,70,6/5/2025,,6/5/2025,,6/5/2025,28,10-No Activity reported,28,1,1,1.07,6/2/2025
MACH1,DeptA,M000002,ITEM2,OPER0002,50,6/4/2025,5/29/2025,6/4/2025,,6/5/2025,14,30-Activity reported,14,0.04,0.04,1.04,5/29/2025
MACH32,DeptG,M000002,ITEM2,OPER0081,70,6/5/2025,,6/5/2025,,6/5/2025,14,10-No Activity reported,14,1,1,1.04,6/2/2025
MACH47,DeptK,M000128,ITEM58,OPER0162,30,6/4/2025,6/4/2025,6/4/2025,6/4/2025,6/11/2025,0,40-Operation Complete,10,1.15,1.15,7.11,6/4/2025
MACH97,DeptF,M000128,ITEM58,OPER0274,40,6/5/2025,6/4/2025,6/5/2025,6/4/2025,6/11/2025,0,40-Operation Complete,10,0.21,0.21,7.11,6/4/2025
MACH92,DeptN,M000128,ITEM58,OPER0230,50,6/6/2025,,6/6/2025,,6/11/2025,10,10-No Activity reported,10,2,2,7.11,6/4/2025
MACH31,DeptB,M000128,ITEM58,OPER0080,55,6/9/2025,,6/9/2025,,6/11/2025,10,10-No Activity reported,10,1,1.17,7.11,
MACH32,DeptG,M000128,ITEM58,OPER0083,599,6/10/2025,,6/10/2025,,6/11/2025,10,10-No Activity reported,10,2,2,7.11,
MACH25,DeptF,M000128,ITEM58,OPER0056,600,6/11/2025,,6/11/2025,,6/11/2025,10,10-No Activity reported,10,0.5,0.58,7.11,
MACH45,0,M000129,ITEM59,OPER0129,15,6/17/2025,,6/17/2025,,6/20/2025,202.666,10-No Activity reported,192,0,0,4.37,
